,=VeryGood=,Stamp and Scrape,Unnamed: 2,Unnamed: 3,Unnamed: 4
1198,=Poor=,LIKE WAX,,,
1199,=Unsatisfactory=,Wouldn't order again,,,
1200,=Excellent=,Love it,,,
1201,=Poor=,I did not use this product at all,,,
1202,=VeryGood=,Needs Practice,,,
1203,=Poor=,No.,,,
1204,=Unsatisfactory=,I don't like it,,,
1205,=Poor=,I have combination dry skin.,,,
1206,=Unsatisfactory=,Distortion in mirror,,,
1207,=Poor=,Costs too much no matter how good it is.,,,
1208,=VeryGood=,Hair clips,,,
1209,=Good=,Okay,,,
1210,=Good=,A decent eye makeup remover.,,,
1211,=Unsatisfactory=,Color is a bit too bright,,,
1212,=Poor=,This sucks,,,
1213,=VeryGood=,A good moisturizer,,,
1214,=VeryGood=,"Good price, half pigmentation",,,
1215,=VeryGood=,Affordable Detangler,,,
1216,=Unsatisfactory=,Not great,,,
1217,=VeryGood=,Great Stuff,,,
1218,=Poor=,What a total rook.  So not worth the rediculous cost of this product.,,,
1219,=VeryGood=,Good Hair dryer,,,
1220,=Unsatisfactory=,Disappointment,,,
1221,=VeryGood=,Reduces pores yet too strong for my eyes,,,
1222,=Good=,So so hairspray,,,
1223,=Unsatisfactory=,Not for Sensitive Skins,,,
1224,=VeryGood=,Great hold.,,,
1225,=VeryGood=,Introduction to glycolic acid,,,
1226,=Good=,Body Shop bath gloves,,,
1227,=Excellent=,Great Light Product at Great Price,,,
1228,=Good=,"It works but yeah, it's green",,,
1229,=Good=,Ok,,,
1230,=VeryGood=,Very refreshing snd subtle scent,,,
1231,=Poor=,Weak Scent,,,
1232,=Unsatisfactory=,Too long!,,,
1233,=Poor=,Caked all over my eyelid,,,
1234,=Good=,dried up,,,
1235,=Poor=,NOPE!,,,
1236,=Unsatisfactory=,OK,,,
1237,=VeryGood=,Good Product,,,
1238,=Poor=,Do not buy from Kiosks,,,
1239,=Unsatisfactory=,do not like the fragrance of this product,,,
1240,=VeryGood=,Back to Using My Wild Growth Hair Oil!!,,,
1241,=Excellent=,favorite lotion I use.,,,
1242,=VeryGood=,Very Nice,,,
1243,=Poor=,To dark,,,
1244,=Good=,Only for dry skin,,,
1245,=Unsatisfactory=,Dries too quickly,,,
1246,=Good=,"Stays on as promised, but...",,,
1247,=VeryGood=,Long Lasting,,,
1248,=Poor=,not for my kinky curly hair - overrated,,,
1249,=Unsatisfactory=,Too frosty for me.,,,
1250,=Poor=,"Cheap product, contains formaldehyde...",,,
1251,=Good=,wife ordered this,,,
1252,=Good=,Peppermint lotion,,,
1253,=Excellent=,Enjoy this product daily!,,,
1254,=Good=,Not so great for bigger sections of hair,,,
1255,=Unsatisfactory=,Maybelline NY Dream Matte Mousee Foundation,,,
1256,=Poor=,Waste of Good Money,,,
1257,=VeryGood=,don't brush my hair much,,,
1258,=Good=,Expectations may have been too high.,,,
1259,=Poor=,"Too light, one-color-doesn't match all",,,
1260,=VeryGood=,Good stuff,,,
1261,=Excellent=,very nice,,,
1262,=Good=,It's an average product for relaxed hair,,,
1263,=Unsatisfactory=,ok,,,
1264,=Good=,It doesn't hold,,,
1265,=Unsatisfactory=,Very short cord.,,,
1266,=VeryGood=,Darker,,,
1267,=Poor=,Useless.,,,
1268,=Good=,Doesn't do what I had bought it for.,,,
1269,=Poor=,Terrible quality,,,
1270,=VeryGood=,Economical night cream that does a pretty decent job at reducing or eliminating fine lines,,,
1271,=VeryGood=,A satisfying product,,,
1272,=Good=,Love the color but it's kind of dry,,,
1273,=VeryGood=,Nice neutral with subtle sparkle!,,,
1274,=Unsatisfactory=,Sheer Slight Pink Sheen,,,
1275,=Poor=,"i'm just sayin, you can do better",,,
1276,=Poor=,"Not a sonic cleaner; damages your upper skin layer, comparison to Clarisonic and Nutrasonic.",,,
1277,=Unsatisfactory=,shea moisture coconut&hibiscus curl*style didn't work for me,,,
1278,=Excellent=,Love Redkin,,,
1279,=Unsatisfactory=,UGLY COLOR..not what expected!!,,,
1280,=Unsatisfactory=,"Not hydrating or soothing enough for dry, sensitive skin",,,
1281,=Good=,"Pricey, but you will notice a difference",,,
1282,=Poor=,sucks.....,,,
1283,=VeryGood=,"Good, not miraculous",,,
1284,=VeryGood=,"Safe and Natural Looking, Just Don't Expect Knock-Out Lashes",,,
1285,=Poor=,Poor quality,,,
1286,=Unsatisfactory=,DOES NOT WORK...,,,
1287,=Good=,Cheap but does the trick,,,
1288,=VeryGood=,Feel the vibrations,,,
1289,=Unsatisfactory=,Not impressed,,,
1290,=VeryGood=,"Great for use with Girdle, Waist trimmer/trainer",,,
1291,=VeryGood=,Shine on...for a little while,,,
1292,=VeryGood=,Best Top Coat but bottle drys up fast!,,,
1293,=VeryGood=,Good Stuff!,,,
1294,=Unsatisfactory=,I have to use a manual curler afterwards..,,,
1295,=Unsatisfactory=,"Not Impressed, I'll stick with my Xen Tan",,,
1296,=Excellent=,Another great product from Earth Science.,,,
1297,=VeryGood=,Get it in liquid form,,,
1298,=Excellent=,Great hair dryer,,,
1299,=Excellent=,really moisturizes my dry feet and leaves them soft!,,,
1300,=Poor=,Not worth it! I threw it away!,,,
1301,=VeryGood=,good face cream,,,
1302,=Excellent=,Great product,,,
1303,=Excellent=,Don't stop selling this product!,,,
1304,=Unsatisfactory=,very dissapointed,,,
1305,=VeryGood=,Great product in a poor container,,,
1306,=VeryGood=,Works well,,,
1307,=Unsatisfactory=,Goes on Nice but....,,,
1308,=Unsatisfactory=,Not for me,,,
1309,=Unsatisfactory=,WTF,,,
1310,=Poor=,Doesn't work for oily scalp dandruff,,,
1311,=Unsatisfactory=,not 2400,,,
1312,=Poor=,Such a waste!,,,
1313,=Poor=,"Broken pieces, took forever to ship",,,
1314,=Excellent=,Love this,,,
1315,=Good=,Not real impressed,,,
1316,=VeryGood=,It was ok,,,
1317,=Poor=,Don't Buy,,,
1318,=Unsatisfactory=,Causes Bad Acne,,,
1319,=VeryGood=,Use every day,,,
1320,=Good=,Probably not good for sensitive skin...,,,
1321,=VeryGood=,brighter skin,,,
1322,=VeryGood=,good product,,,
1323,=Good=,Hmmmm.,,,
1324,=VeryGood=,Great for very dry skin,,,
1325,=Unsatisfactory=,So so...,,,
1326,=Good=,Nice Lather,,,
1327,=Excellent=,Kinda looks like a French manicure,,,
1328,=Good=,Saw some growth but thats it,,,
1329,=Excellent=,Good night cream.,,,
1330,=Excellent=,Helps with break outs and makes skin super soft.,,,
1331,=Good=,Dont like it:(,,,
1332,=Poor=,TERRIBLE product,,,
1333,=Excellent=,amazing stuff with an excellent shipping,,,
1334,=Good=,3 stars because I love the bottle,,,
1335,=VeryGood=,GOOD FOR YOUR HAIR!,,,
1336,=Unsatisfactory=,Mascara is soft but not full,,,
1337,=VeryGood=,Great buy,,,
1338,=Poor=,hair stuff,,,
1339,=Poor=,Don't Waste Your Money,,,
1340,=Poor=,Surprisingly Disappointing,,,
1341,=Poor=,yuck,,,
1342,=Poor=,Doesn't blend AT ALL.  Terrible!,,,
1343,=Unsatisfactory=,Not what it was - Check the names to be sure what you're getting,,,
1344,=Good=,Shorter than I expected,,,
1345,=Excellent=,Satisfied Customer,,,
1346,=VeryGood=,fine mist sdpray bottle,,,
1347,=Good=,Alright But Wish It Had A Fan,,,
1348,=Good=,Okay I guess,,,
1349,=Good=,Dove NutriMoisture,,,
1350,=Good=,"Works well to clean, but not much more than that",,,
1351,=Good=,Meh.,,,
1352,=Unsatisfactory=,Holy Black Opium Batman!,,,
1353,=Unsatisfactory=,Not good,,,
1354,=Unsatisfactory=,Disappointing product from SH,,,
1355,=Good=,Will treat mild acne problems,,,
1356,=Unsatisfactory=,Unimpressed,,,
1357,=Poor=,Worthless,,,
1358,=Excellent=,TRANSPARENT GEL- LIKE GORGEOUS POLISH,,,
1359,=Poor=,I can NOT use it alone - itches terribly!,,,
1360,=Unsatisfactory=,Gritty!,,,
1361,=Excellent=,Peter Thomas roth,,,
1362,=VeryGood=,Best top coat so far.,,,
1363,=Good=,Too light,,,
1364,=Good=,room for improvement,,,
1365,=Unsatisfactory=,Must Be Maybelline's Idea Of A Joke,,,
1366,=Poor=,BROKEN - messy!,,,
1367,=Excellent=,No Burn to Skin or Purse,,,
1368,=VeryGood=,"not a masterpiece like Dior Homme or YSL L'homme, but very close",,,
1369,=Good=,Smell is too much!!!,,,
1370,=Poor=,Burns and very expired!!,,,
1371,=Unsatisfactory=,Not for oily hair.,,,
1372,=Unsatisfactory=,Not for me,,,
1373,=Good=,Not as bright as shown,,,
1374,=VeryGood=,fast!,,,
1375,=Poor=,"Honey and the Moon = Sickly Sweet, Instant Headache",,,
1376,=Excellent=,goood good,,,
1377,=Poor=,"Terrible, unusable",,,
1378,=VeryGood=,Not quite as versatile as Fels Naptha,,,
1379,=Unsatisfactory=,Dry lipstick,,,
1380,=Unsatisfactory=,This left a gummy residue in my hair.,,,
1381,=Unsatisfactory=,didn't work for me,,,
1382,=Unsatisfactory=,I thought it would be better,,,
1383,=Excellent=,Obagi : C - Exfoliating Day lotion.,,,
1384,=VeryGood=,Does great job,,,
1385,=Excellent=,BEST BRONZER!,,,
1386,=Poor=,Hated it,,,
1387,=Good=,** These reviews are for different items ***,,,
1388,=Unsatisfactory=,Liked the old version better...,,,
1389,=Unsatisfactory=,Not what I expected..,,,
1390,=Unsatisfactory=,"Good price, lower quality",,,
1391,=Excellent=,I love this top coat!,,,
1392,=Excellent=,Practically Perfect,,,
1393,=Good=,not good enough,,,
1394,=Unsatisfactory=,Only one smells good.,,,
1395,=Poor=,It's a NO go for me,,,
1396,=Poor=,I do not recommend,,,
1397,=Excellent=,I really like this product! Love it!!,,,
1398,=VeryGood=,Really like it.,,,
1399,=Poor=,Not for long hair,,,
1400,=Poor=,Cleansing Conditioner- Ew,,,
1401,=Unsatisfactory=,doesn't exfoliate my skin enough,,,
1402,=Good=,It's okay,,,
1403,=VeryGood=,Success depends on your hair routine,,,
1404,=Excellent=,love this towel,,,
1405,=Excellent=,Works great on feet,,,
1406,=Poor=,Don't waste your money,,,
1407,=Unsatisfactory=,Did not deliver expected results,,,
1408,=Good=,Alba Botanica,,,
1409,=Excellent=,great light serum,,,
1410,=Good=,It's just glue but it works!,,,
1411,=Unsatisfactory=,I love the color but...,,,
1412,=Good=,"Creamy, smooth and citrus-flavored night cream!",,,
1413,=Poor=,"dry and scratchy, i may have to heat it ...",,,
1414,=Excellent=,Awesome fall color,,,
1415,=Poor=,Really Not Impressed,,,
1416,=Poor=,"Want flat, crunch curls?",,,
1417,=Excellent=,Great acne cleanser - WONDERFUL with Clarisonic,,,
1418,=VeryGood=,"Effectiveness did vary with skin tone,  Nice and light.",,,
1419,=Excellent=,OMG!!!,,,
1420,=Unsatisfactory=,not sure it works,,,
1421,=Poor=,Disappointed,,,
1422,=Unsatisfactory=,Nothing yet,,,
1423,=VeryGood=,Good Foaming Soap,,,
1424,=Excellent=,Smelly but works,,,
1425,=Excellent=,AMAZING!!!,,,
1426,=Excellent=,Beautiful color!,,,
1427,=Good=,Bleach BURN,,,
1428,=Good=,Motions' Inconsistent Story...,,,
1429,=Excellent=,My new holy grail.,,,
1430,=Good=,"great, but could be better",,,
1431,=Excellent=,Great alternative to lotion,,,
1432,=Good=,Ah. Alright,,,
1433,=Unsatisfactory=,I didn't feel any difference,,,
1434,=Excellent=,The best!,,,
1435,=Poor=,Crap.,,,
1436,=Good=,Ok,,,
1437,=Poor=,Color good,,,
1438,=Good=,avon wash off mascara,,,
1439,=Unsatisfactory=,Returned this product,,,
1440,=Poor=,Huge,,,
1441,=Unsatisfactory=,Love your hair and pay the extra money for one ...,,,
1442,=Poor=,Not very comfy,,,
1443,=Unsatisfactory=,disappointed,,,
1444,=Good=,"Foamy & nice smelling, but unremarkable",,,
1445,=Excellent=,The Best,,,
1446,=Unsatisfactory=,"mehh, majority of the brushes suck",,,
1447,=Unsatisfactory=,Not what I expected...,,,
1448,=Good=,no real improvement,,,
1449,=Unsatisfactory=,"Be careful, it has more than minerals in it!",,,
1450,=Excellent=,My husband really likes it,,,
1451,=Poor=,"I had THREE bottles of this, and sorry, folks ---any \minimizing\"" comes from the silicone, a purely aesthetic trick""",,,
1452,=Poor=,terrible bb cream,,,
1453,=Poor=,Didn't Zap the Zits,,,
1454,=Excellent=,Wonderful product!,,,
1455,=Unsatisfactory=,DISAPPOINTED THAT I CAN'T USE THIS PRODUCT,,,
1456,=Unsatisfactory=,Too drying.,,,
1457,=Good=,A Hint of Granny,,,
1458,=Excellent=,Best yet,,,
1459,=Excellent=,"Spornette Porcupine Rounder Brush, 2-Inch",,,
1460,=Good=,May be problematic if you have very sensitive skin,,,
1461,=VeryGood=,Compared with T3 Tourmaline Hair Dryer,,,
1462,=Excellent=,love this!,,,
1463,=Poor=,soap,,,
1464,=Unsatisfactory=,didn't help with my cystic acne :(,,,
1465,=Poor=,One Of The Worst Mascaras I've Ever Bought,,,
1466,=VeryGood=,"Light, Nice Color, Non-Greasy",,,
1467,=VeryGood=,non greasy.,,,
1468,=Good=,"Hard to Use, But Nice When It Turns Out As Intended",,,
1469,=Unsatisfactory=,Powerful scent,,,
1470,=Poor=,Did not like it,,,
1471,=Good=,Light Eye Cream - Still Puffy,,,
1472,=VeryGood=,Lovely,,,
1473,=Unsatisfactory=,Just average - no change in my small acne problem!,,,
1474,=VeryGood=,"As good as proactive, without being as messy",,,
1475,=VeryGood=,Tweezerman is good,,,
1476,=Unsatisfactory=,"Prevents Pimples, Does Not Clear Skin",,,
1477,=VeryGood=,Removed my blackheads!,,,
1478,=VeryGood=,Guess by Guess,,,
1479,=Unsatisfactory=,Not recommended for oily or acne-prone skin types,,,
1480,=VeryGood=,UM NOT,,,
1481,=VeryGood=,A bit too light for my face but is gentle on my sensitive skin,,,
1482,=Excellent=,The best,,,
1483,=Excellent=,Natural Instincts,,,
1484,=VeryGood=,Nice for oily skin,,,
1485,=Unsatisfactory=,Hard to apply,,,
1486,=Unsatisfactory=,Not for me,,,
1487,=Excellent=,Perfect Nude Pink!,,,
1488,=Unsatisfactory=,not great,,,
1489,=Poor=,Leaks!,,,
1490,=Good=,Nice but not frothy!,,,
1491,=Poor=,garbage,,,
1492,=Unsatisfactory=,Expense not worth it!,,,
1493,=Poor=,hate this product,,,
1494,=Excellent=,"skeptical, but they work",,,
1495,=Unsatisfactory=,No such luck,,,
1496,=Unsatisfactory=,Not for me,,,
1497,=Excellent=,"Hands down, best neutral nail color",,,
1498,=Excellent=,Works well for my hair,,,
1499,=Unsatisfactory=,They Pull Hair!!,,,
1500,=Excellent=,I Love Everything Rusk! ;*,,,
1501,=Excellent=,Best hair brushing brush I've found,,,
1502,=Excellent=,"Sensitive skin, red/purple damage , Covers it all",,,
1503,=Poor=,HATE THE SMELL!!,,,
1504,=VeryGood=,It's okay.,,,
1505,=Unsatisfactory=,Not for me,,,
1506,=VeryGood=,They Do a Good Job,,,
1507,=Unsatisfactory=,im not sure?,,,
1508,=Good=,dry pads don't take my eye makup off!,,,
1509,=VeryGood=,Smells great,,,
1510,=VeryGood=,Perfect for Winter Weather,,,
1511,=Excellent=,It removes all,,,
1512,=Unsatisfactory=,Not impressed,,,
1513,=Poor=,smell is too strong!,,,
1514,=Excellent=,Love this brush!,,,
1515,=Excellent=,OMG...Ojon....The Best Ever,,,
1516,=Poor=,"Terrible, has not cured gel nails at all",,,
1517,=VeryGood=,great caly much better than misk,,,
1518,=Unsatisfactory=,cheap,,,
1519,=Unsatisfactory=,Gloppy and thick,,,
1520,=VeryGood=,"Light, quickly absorbed",,,
1521,=Poor=,No Relief,,,
1522,=Excellent=,sheal butter,,,
1523,=Poor=,Doesn't work for me,,,
1524,=Good=,Get a Smaller One for Effectiveness,,,
1525,=Poor=,Don't waste your money,,,
1526,=Unsatisfactory=,leaks,,,
1527,=VeryGood=,My Favorite Gloss :),,,
1528,=Poor=,Disappointing,,,
1529,=Good=,Nice but,,,
1530,=Excellent=,Smooth and silky body wash,,,
1531,=Unsatisfactory=,Don't like it as much as much as other products,,,
1532,=Poor=,Don't buy unless you want acne!,,,
1533,=Unsatisfactory=,Would not reccommend,,,
1534,=Good=,"Not all that \super\""""",,,
1535,=Good=,Elta MD is a top product for sunscreens,,,
1536,=Unsatisfactory=,OMG this is messy,,,
1537,=Excellent=,Great product!,,,
1538,=Excellent=,"Great scent, good performance, a luxury in the kitchen",,,
1539,=Excellent=,It Works!,,,
1540,=Poor=,Done with this product!,,,
1541,=Excellent=,Where have you been all my life?,,,
1542,=VeryGood=,So far so good,,,
1543,=Poor=,Smells gross and does nothing.,,,
1544,=VeryGood=,Nice product that helps to hide my ridges,,,
1545,=Unsatisfactory=,did not like,,,
1546,=Excellent=,Good product,,,
1547,=Good=,It's just so-so,,,
1548,=Poor=,Washed me out! Too thick of a product on face,,,
1549,=VeryGood=,Love it,,,
1550,=Poor=,"Decent detangler, NOT a conditioner",,,
1551,=Good=,gentle cleanser,,,
1552,=VeryGood=,For dry hair,,,
1553,=VeryGood=,Works as it should,,,
1554,=VeryGood=,Nice way to store the cord.,,,
1555,=Excellent=,Leaves my little dog with a very nice scent,,,
1556,=Unsatisfactory=,Not for my skin,,,
1557,=Unsatisfactory=,Stinks...,,,
1558,=Good=,Too small and I don't like the material,,,
1559,=Excellent=,Light moisturizer with SPF,,,
1560,=VeryGood=,Almost Runny and the Scent is So-So,,,
1561,=Good=,"DRY PADS, POOR RESULTS",,,
1562,=Good=,Great! But wheel sucks,,,
1563,=Excellent=,smooth,,,
1564,=Excellent=,Terrific natural hair color,,,
1565,=Unsatisfactory=,Unbelievably flimsy!,,,
1566,=Poor=,This is not the conditioner you're thinking of,,,
1567,=Excellent=,Deep lavender and lemon in a bright blue seaweed bath!,,,
1568,=Poor=,Not worth it,,,
1569,=Good=,Well,,,
1570,=Poor=,Junk in a bottle,,,
1571,=Excellent=,The Best Hair Color I've Used!,,,
1572,=Unsatisfactory=,Not worth the money,,,
1573,=VeryGood=,Another good product,,,
1574,=VeryGood=,Cure for dry skin patches,,,
1575,=VeryGood=,Smoothe Finish,,,
1576,=Poor=,Very Different,,,
1577,=Poor=,"NOTHING \GOODY\"" ABOUT IT!""",,,
1578,=Good=,A little greasy,,,
1579,=Excellent=,Cleans well,,,
1580,=Good=,"Ok for summer, but maybe not for winter",,,
1581,=Good=,Better Firming Lotions Out There,,,
1582,=Poor=,does not work,,,
1583,=Good=,Purple is not even close to being purple,,,
1584,=Poor=,Breakouts and spots,,,
1585,=Excellent=,Great for dry skin,,,
1586,=Unsatisfactory=,Didn't work for me,,,
1587,=Good=,too heavy,,,
1588,=VeryGood=,"Great Product, Bad Packaging",,,
1589,=Excellent=,Does whats needed,,,
1590,=Good=,What I learned from trying 5 different hydrating products,,,
1591,=VeryGood=,Nice brush,,,
1592,=Poor=,SAVE YOUR MONEY,,,
1593,=VeryGood=,Works better than the cheap ones,,,
1594,=Unsatisfactory=,Its not too good,,,
1595,=Excellent=,So Far so Good!,,,
1596,=Excellent=,Nice reddish burgundy shimmer,,,
1597,=Poor=,Not worth it!,,,
1598,=VeryGood=,flattering,,,
1599,=VeryGood=,Matte Finish and Fine Line Fill,,,
1600,=Poor=,Waste of money,,,
1601,=Poor=,Does not work,,,
1602,=VeryGood=,Decent Hardener,,,
1603,=Excellent=,Love It!,,,
1604,=Good=,My hair did not curl.,,,
1605,=Unsatisfactory=,Not so much,,,
1606,=Good=,Mixed results,,,
1607,=Poor=,GGGRRRR!!!!!!!!,,,
1608,=VeryGood=,Cute Mirror,,,
1609,=Good=,It's okay,,,
1610,=Excellent=,ABC Good Morning America (recommended this),,,
1611,=Good=,I wont be repurchasing this shampoo,,,
1612,=Poor=,Not worth it,,,
1613,=Poor=,awfull,,,
1614,=VeryGood=,Seasonal wear,,,
1615,=VeryGood=,Very good,,,
1616,=Poor=,Severe allergic reaction/ anaphylaxis,,,
1617,=Good=,Use lightly in the Winter ...,,,
1618,=Good=,"It's OK, but I think Yes To Carrots brand is better",,,
1619,=Poor=,Cheap construction,,,
1620,=Poor=,This does... nothing,,,
1621,=Good=,"Helped with Redness, but Wish SPF was Higher",,,
1622,=Excellent=,RUSH TO BUY THIS BLUSH,,,
1623,=Unsatisfactory=,Extremely Over Priced Bath Rag,,,
1624,=Good=,Asi Asi...,,,
1625,=VeryGood=,Nice product,,,
1626,=Excellent=,helped me look great!,,,
1627,=VeryGood=,Love this soap! . . . BUT WHAT'S WITH THE NEW PRICE?,,,
1628,=Poor=,NEVER AGAIN!,,,
1629,=Excellent=,Super sharp.,,,
1630,=VeryGood=,Magic,,,
1631,=Good=,Love the Shade,,,
1632,=Excellent=,Favorite soap,,,
1633,=Unsatisfactory=,Smells Like Perfume,,,
1634,=Excellent=,Best body moisturizer,,,
1635,=Good=,Didn't  do anything for wrinkles,,,
1636,=Excellent=,I love it,,,
1637,=Good=,Good budget base for shadows,,,
1638,=Good=,"Packaging is horrible, but product is worth it",,,
1639,=Good=,Dosn't do what it says,,,
1640,=VeryGood=,"Noy A Necessity, But It Helps When You Are Short Of Time!",,,
1641,=Good=,***NOTHING TO RAVE ABOUT******,,,
1642,=VeryGood=,Good but not for thick hair,,,
1643,=Unsatisfactory=,Two Stars,,,
1644,=Unsatisfactory=,Did not work for me,,,
1645,=Excellent=,Favorite Camille Beckman scent,,,
1646,=Excellent=,WEN User for LIFE,,,
1647,=Good=,"\OK\""--as far as it goes, that is""",,,
1648,=Excellent=,Great cleanser,,,
1649,=Poor=,scent lasts all day long,,,
1650,=VeryGood=,I had few expectations...,,,
1651,=Good=,Average eyeliner,,,
1652,=Poor=,EXPIRED!,,,
1653,=Unsatisfactory=,Not what i wanted,,,
1654,=Unsatisfactory=,I love NYX however this might be a fake?,,,
1655,=Poor=,Hated this,,,
1656,=Excellent=,AMAZING,,,
1657,=Unsatisfactory=,Beware!,,,
1658,=Poor=,Tossed,,,
1659,=Excellent=,Agreeing with almost everyone else,,,
1660,=VeryGood=,smoother skin fast!,,,
1661,=VeryGood=,this light weight emulsion eye cream is just what the ...,,,
1662,=VeryGood=,Love Nivea!,,,
1663,=Good=,Didn't work,,,
1664,=Poor=,not impressed,,,
1665,=Good=,good makeup remover!,,,
1666,=Excellent=,"Worked for our 4 year old thumbsucker,",,,
1667,=Poor=,doesn't stay on for me,,,
1668,=Excellent=,Excellent,,,
1669,=Poor=,too artificial for me,,,
1670,=Good=,Nothing Special,,,
1671,=VeryGood=,Wonderful results so far,,,
1672,=Excellent=,Gorgeous,,,
1673,=Unsatisfactory=,Oil of Olay fan slightly disappointed,,,
1674,=Good=,"SEEMS GREAT, BUT...",,,
1675,=VeryGood=,good,,,
1676,=Unsatisfactory=,"Good product, icky smell",,,
1677,=VeryGood=,"Good, thick conditioner",,,
1678,=VeryGood=,Seems to work well,,,
1679,=Unsatisfactory=,not for me i guess,,,
1680,=Good=,Not very effective,,,
1681,=Excellent=,I love this Shea Butter!,,,
1682,=VeryGood=,wish it was faster,,,
1683,=Unsatisfactory=,Last short!,,,
1684,=Good=,Not for my curly hair,,,
1685,=Unsatisfactory=,Nothing special,,,
1686,=VeryGood=,"Great for cracked, dry skin",,,
1687,=Unsatisfactory=,Not so great...,,,
1688,=Good=,Too drying for my skin.,,,
1689,=Excellent=,My daughter is addicted to these.,,,
1690,=Excellent=,jade is the new black rocks!,,,
1691,=Poor=,What Can I Say?,,,
1692,=Poor=,flimsy,,,
1693,=VeryGood=,Pretty!,,,
1694,=Poor=,One Star,,,
1695,=Good=,Doesn't actually clear away the blackheads,,,
1696,=Excellent=,Awesome!,,,
1697,=Unsatisfactory=,Disappointed...I do not recommend this,,,
1698,=Good=,Wanna love it,,,
1699,=Unsatisfactory=,Not what I was looking for,,,
1700,=Poor=,Not great quality,,,
1701,=Poor=,Horrible,,,
1702,=Good=,OK,,,
1703,=Poor=,Defective & Just OK Curl,,,
1704,=Good=,clinique dramatically different moisturizing lotion,,,
1705,=Poor=,Complete junk,,,
1706,=Unsatisfactory=,"Not for relaxed, or textured hair",,,
1707,=Unsatisfactory=,Brush sheds,,,
1708,=Poor=,The straightener did not work as it was supposed to,,,
1709,=Good=,covergirl lineexact liquid eyeliner,,,
1710,=Excellent=,the best,,,
1711,=Poor=,greasy hair,,,
1712,=Unsatisfactory=,Rather overpowering,,,
1713,=VeryGood=,just in case,,,
1714,=VeryGood=,Good for the price,,,
1715,=Excellent=,Great Product!,,,
1716,=Poor=,Dried my hair out terribly and color was not as expected,,,
1717,=Unsatisfactory=,The Blonde is Too Dark and Too Gold!,,,
1718,=Good=,stings,,,
1719,=Unsatisfactory=,Not nearly as strong as I hoped.,,,
1720,=VeryGood=,Ordering it again,,,
1721,=Poor=,very unsatisfied,,,
1722,=Excellent=,Works,,,
1723,=Good=,"Yes, it works to straighten hair",,,
1724,=Excellent=,Ballet Slippers is lovely,,,
1725,=Good=,Three Stars,,,
1726,=Excellent=,love the honey mango scent,,,
1727,=Excellent=,Great For African American Skin Tones,,,
1728,=Poor=,No Results.,,,
1729,=Unsatisfactory=,It holds; but very sticky,,,
1730,=Excellent=,Favorite item,,,
1731,=Good=,"Some softness, but not much else.",,,
1732,=Excellent=,Perfect to prevent ingrown toe nails,,,
1733,=Poor=,Terrible,,,
1734,=VeryGood=,Mmmm.....Lip Butter,,,
1735,=VeryGood=,Works great!!!,,,
1736,=Unsatisfactory=,Not for me,,,
1737,=Unsatisfactory=,Smells Great!,,,
1738,=Unsatisfactory=,Cheaply Made. OK if you don't mind Superglue-ing the Metal Tips On,,,
1739,=Poor=,"Do not buy, the mask is full of alcohol!!!!!!!",,,
1740,=Good=,"works fine, but I see no difference vs regular non-ionic dryer",,,
1741,=Excellent=,Licensed Cosmetologist and Product Experts review,,,
1742,=VeryGood=,Great for tans,,,
1743,=Good=,Not bad,,,
1744,=Poor=,A Big Mistake,,,
1745,=VeryGood=,Does the job,,,
1746,=VeryGood=,Great Dryer,,,
1747,=Poor=,ITS CRAP PASSING FOR SALON QUALITY,,,
1748,=Excellent=,Hands Free,,,
1749,=Good=,Mixed reaction,,,
1750,=VeryGood=,Nice Quality,,,
1751,=Good=,Not what I expected...,,,
1752,=VeryGood=,Good for thin African-American hair,,,
1753,=Excellent=,Not loreal,,,
1754,=Excellent=,Straghtener,,,
1755,=VeryGood=,Great scent.,,,
1756,=Poor=,Do not buy,,,
1757,=Excellent=,Nice and natural + smells good!,,,
1758,=Excellent=,squeeky clean,,,
1759,=Unsatisfactory=,Disappointing.,,,
1760,=Good=,Good flexible hold,,,
1761,=VeryGood=,Nice cleanser,,,
1762,=Good=,"seems to work well, but really expensive",,,
1763,=VeryGood=,Great price for this!,,,
1764,=VeryGood=,great product but not for subtle looks,,,
1765,=VeryGood=,Skin smoothing without irritation...,,,
1766,=Poor=,received a diff product in the mail,,,
1767,=Excellent=,Great face and all-over body cleanser,,,
1768,=VeryGood=,Works well,,,
1769,=Excellent=,Man oh Woman,,,
1770,=Excellent=,"High Quality Brushes, always!",,,
1771,=VeryGood=,"Bought elsewhere, pleased with product",,,
1772,=Excellent=,love this color,,,
1773,=Poor=,Not for me..,,,
1774,=VeryGood=,Successful Peel for a beginner,,,
1775,=VeryGood=,"Effective, gentle, but a bit oily",,,
1776,=Excellent=,Great boar brush,,,
1777,=Excellent=,I recommend this product.,,,
1778,=Good=,Not that great,,,
1779,=Unsatisfactory=,Smells gross,,,
1780,=Excellent=,best moisturizer on the market!,,,
1781,=Unsatisfactory=,Crazy reactions,,,
1782,=Poor=,came broken,,,
1783,=VeryGood=,Silver gray hair brightner,,,
1784,=Poor=,Concealer,,,
1785,=VeryGood=,love shea not the packaging,,,
1786,=Unsatisfactory=,disappointing styling tool,,,
1787,=VeryGood=,Terrific For Every Skin,,,
1788,=Poor=,Eyes look more puffy,,,
1789,=Good=,Quality?,,,
